,City,Country,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Date
341,plouzane,FR,48.3833,-4.6167,100.0,94.0,57.38,12.66,1652598398.0
342,marevo,RU,57.3146,32.0804,96.0,89.0,49.53,8.23,1652598399.0
343,petropavlovsk-kamchatskiy,RU,53.0452,158.6483,100.0,97.0,37.15,14.41,1652598399.0
344,el wasta,,,,,,,,
345,norman wells,CA,65.282,-126.8329,100.0,97.0,35.92,4.25,1652598158.0
346,iquitos,PE,-3.7481,-73.2472,75.0,100.0,75.24,2.3,1652598400.0
347,kletskaya,RU,49.3145,43.0584,96.0,70.0,58.3,14.29,1652598401.0
348,meulaboh,ID,4.1363,96.1285,100.0,86.0,80.11,2.44,1652598402.0
349,mrirt,,,,,,,,
350,longyearbyen,SJ,78.2186,15.6401,75.0,64.0,30.04,2.3,1652598403.0
351,jurm,AF,36.8648,70.8342,63.0,54.0,69.64,6.31,1652598403.0
352,pisco,PE,-13.7,-76.2167,100.0,88.0,62.65,5.75,1652598404.0
353,iquique,CL,-20.2208,-70.1431,32.0,78.0,61.29,2.64,1652598233.0
354,kavaratti,IN,10.5669,72.642,100.0,91.0,78.33,17.31,1652598405.0
355,padang,ID,-0.9492,100.3543,41.0,80.0,87.85,5.93,1652598406.0
356,iralaya,HN,15.0,-83.2333,75.0,82.0,77.74,2.24,1652598406.0
357,sorland,NO,67.667,12.6934,24.0,88.0,44.46,18.97,1652598407.0
358,marawi,PH,7.9986,124.2928,100.0,92.0,73.04,2.37,1652598408.0
359,erdenet,MN,49.0333,104.0833,10.0,15.0,65.57,6.69,1652598408.0
360,lodja,CD,-3.4833,23.4333,94.0,67.0,77.86,1.48,1652598409.0
361,aksarka,RU,66.5606,67.7975,100.0,67.0,54.07,8.05,1652598409.0
362,batagay-alyta,RU,67.8006,130.4114,100.0,68.0,23.45,3.71,1652598410.0
363,mys shmidta,,,,,,,,
364,pacific grove,US,36.6177,-121.9166,100.0,93.0,56.43,11.99,1652598393.0
365,bardiyah,LY,31.7561,25.0865,0.0,62.0,69.84,14.41,1652598411.0
366,saint-augustin,CA,51.226,-58.6502,94.0,97.0,36.32,7.67,1652598412.0
367,kazanskoye,RU,55.6448,69.235,9.0,34.0,66.99,11.99,1652598413.0
368,arrecife,ES,28.963,-13.5477,20.0,77.0,66.18,11.5,1652598414.0
369,xining,CN,36.6167,101.7667,99.0,45.0,53.82,10.6,1652598415.0
370,vetluga,RU,57.8557,45.781,100.0,66.0,53.6,8.99,1652598416.0
371,solton,RU,52.8429,86.4787,100.0,31.0,80.46,3.27,1652598416.0
372,sorong,ID,-0.8833,131.25,57.0,80.0,82.26,5.93,1652598417.0
373,lander,US,42.833,-108.7307,0.0,58.0,52.61,0.0,1652598418.0
374,oriximina,BR,-1.7656,-55.8661,100.0,97.0,74.21,3.58,1652598418.0
375,suzhou,CN,31.3114,120.6181,94.0,35.0,71.64,3.09,1652598419.0
376,marau,BR,-28.4492,-52.2,99.0,98.0,57.49,2.64,1652598420.0
377,lewiston,US,44.1003,-70.2148,75.0,92.0,65.39,3.44,1652598305.0
378,inongo,CD,-1.95,18.2667,100.0,94.0,73.02,3.18,1652598420.0
379,umzimvubu,,,,,,,,
380,san miguel,SV,13.4833,-88.1833,34.0,81.0,76.12,1.7,1652598421.0
381,pingliang,CN,35.5392,106.6861,92.0,23.0,65.62,10.38,1652598422.0
382,agadez,NE,19.75,10.25,0.0,23.0,79.11,16.69,1652598422.0
383,flinders,AU,-34.5833,150.8552,100.0,91.0,69.19,5.99,1652598423.0
384,doha,QA,25.2867,51.5333,0.0,51.0,87.78,17.27,1652598170.0
385,vila velha,BR,-20.3297,-40.2925,96.0,79.0,72.39,2.62,1652598124.0
386,boyolangu,ID,-8.1181,111.8935,41.0,70.0,86.27,8.39,1652598424.0
387,ryotsu,JP,38.0833,138.4333,100.0,52.0,59.14,2.01,1652598424.0
388,jalu,LY,29.0331,21.5482,0.0,37.0,72.75,9.31,1652598425.0
389,oda,JP,35.1833,132.5,100.0,63.0,61.57,12.06,1652598425.0
390,kaiserslautern,DE,49.45,7.75,0.0,49.0,65.14,0.0,1652598426.0
391,trairi,BR,-3.2778,-39.2689,100.0,90.0,76.46,8.93,1652598359.0
392,punto fijo,VE,11.6956,-70.1996,72.0,84.0,79.34,25.03,1652598427.0
393,qui nhon,VN,13.7667,109.2333,99.0,76.0,85.28,12.59,1652598428.0
394,vanderhoof,CA,54.0166,-124.0198,77.0,78.0,40.93,4.63,1652598310.0
395,grindavik,IS,63.8424,-22.4338,75.0,100.0,46.87,13.8,1652598428.0
396,daru,PG,-9.0763,143.2092,67.0,75.0,81.07,8.59,1652598429.0
397,hithadhoo,MV,-0.6,73.0833,100.0,69.0,82.92,7.83,1652598430.0
398,prince rupert,CA,54.3161,-130.3201,100.0,82.0,44.92,1.3,1652598307.0
399,hervey bay,AU,-25.2986,152.8535,0.0,85.0,74.44,4.03,1652598431.0
400,butembo,CD,0.15,29.2833,61.0,64.0,70.79,0.96,1652598431.0
401,codrington,AU,-38.2667,141.9667,5.0,80.0,59.22,20.8,1652598432.0
402,kungurtug,RU,50.5994,97.5228,37.0,12.0,70.18,5.23,1652598433.0
403,shache,CN,38.4167,77.2406,100.0,20.0,79.97,9.73,1652598433.0
404,lahad datu,MY,5.0268,118.327,100.0,74.0,84.09,5.06,1652598434.0
405,dmitriyevka,RU,54.75,55.3333,23.0,54.0,63.95,12.66,1652598435.0
406,maua,BR,-23.6678,-46.4614,100.0,94.0,63.36,3.98,1652598436.0
407,sao joao dos patos,BR,-6.495,-43.7022,100.0,72.0,76.66,2.68,1652598437.0
408,rolim de moura,,,,,,,,
409,tocopilla,CL,-22.092,-70.1979,13.0,70.0,61.77,2.82,1652598438.0
410,komsomolskiy,UZ,40.4272,71.7189,40.0,63.0,66.92,2.3,1652598439.0
411,baturaja,ID,-4.1333,104.1667,45.0,50.0,91.56,4.85,1652598440.0
412,pozo colorado,PY,-23.4923,-58.7972,100.0,96.0,61.41,7.11,1652598440.0
413,yerbogachen,RU,61.2767,108.0108,100.0,27.0,66.43,6.8,1652598441.0
414,naudero,PK,27.6648,68.3622,0.0,6.0,113.47,8.79,1652598441.0
415,touros,BR,-5.1989,-35.4608,77.0,92.0,75.49,8.75,1652598442.0
416,siocon,PH,7.7061,122.1353,96.0,79.0,83.62,3.74,1652598442.0
417,panji,ID,-7.7253,114.0995,61.0,64.0,87.53,6.76,1652598443.0
418,ardistan,,,,,,,,
419,marcona,,,,,,,,
420,viedma,AR,-40.8135,-62.9967,16.0,61.0,49.68,19.91,1652598444.0
421,binzhou,CN,37.3667,118.0167,93.0,15.0,79.63,10.47,1652598444.0
422,dabeiba,CO,7.0017,-76.2672,100.0,98.0,74.23,0.89,1652598445.0
423,ust-nera,RU,64.5667,143.2,100.0,84.0,36.64,8.21,1652598445.0
424,kupang,ID,-10.1667,123.5833,19.0,75.0,82.89,2.19,1652598446.0
425,springbok,ZA,-29.6643,17.8865,0.0,14.0,57.13,7.99,1652598446.0
426,caravelas,BR,-17.7125,-39.2481,100.0,76.0,73.44,7.29,1652598447.0
427,paungde,MM,18.4833,95.5,43.0,30.0,102.38,7.07,1652598447.0
428,hamilton,US,39.1834,-84.5333,0.0,96.0,63.39,3.44,1652598242.0
429,braganca,BR,-1.0536,-46.7656,100.0,99.0,73.92,1.23,1652598448.0
430,orsk,RU,51.2049,58.5668,100.0,80.0,57.25,8.34,1652598449.0
431,gat,IL,31.61,34.7642,84.0,100.0,76.41,12.26,1652598449.0
432,acajutla,SV,13.5928,-89.8275,7.0,71.0,80.73,4.34,1652598450.0
433,bethanien,NA,-26.502,17.1583,0.0,25.0,61.29,8.72,1652598450.0
434,sur,OM,22.5667,59.5289,0.0,50.0,88.57,9.71,1652598451.0
435,nurota,UZ,40.5614,65.6886,0.0,28.0,76.5,15.46,1652598451.0
436,kahului,US,20.8947,-156.47,52.0,84.0,74.84,5.99,1652598197.0
437,morehead,US,37.2711,-87.1764,40.0,94.0,64.15,0.0,1652598452.0
438,yudong,CN,29.385,106.5194,100.0,91.0,59.9,0.87,1652598453.0
439,naze,JP,28.3667,129.4833,100.0,67.0,64.81,18.77,1652598316.0
440,samusu,,,,,,,,
441,okhotsk,RU,59.3833,143.3,100.0,96.0,36.12,42.88,1652598453.0
442,rock springs,US,41.5875,-109.2029,0.0,52.0,50.05,9.22,1652598454.0
443,taoudenni,ML,22.6783,-3.9836,72.0,8.0,82.0,13.24,1652598454.0
444,acarau,BR,-2.8856,-40.12,100.0,88.0,77.2,11.36,1652598455.0
445,sterling,US,39.0062,-77.4286,100.0,97.0,65.17,3.44,1652598455.0
446,nuuk,GL,64.1835,-51.7216,75.0,80.0,25.41,15.01,1652598456.0
447,angelholm,,,,,,,,
448,maracaju,BR,-21.6144,-55.1683,87.0,98.0,62.46,3.91,1652598457.0
449,cam ranh,VN,11.9214,109.1591,20.0,50.0,102.16,6.91,1652598457.0
450,mount gambier,AU,-37.8333,140.7667,75.0,94.0,55.31,19.57,1652598458.0
451,ouallam,NE,14.3188,2.0866,100.0,44.0,88.81,12.88,1652598458.0
452,rovaniemi,FI,66.5,25.7167,0.0,66.0,49.41,6.91,1652598459.0
453,rosario,AR,-32.9468,-60.6393,40.0,82.0,52.95,4.61,1652598407.0
454,darovskoy,RU,58.77,47.9564,97.0,84.0,49.26,10.25,1652598460.0
455,moose factory,CA,51.2585,-80.6094,100.0,94.0,58.98,6.91,1652598460.0
456,tumannyy,,,,,,,,
457,beyneu,KZ,45.3167,55.2,100.0,27.0,76.28,16.13,1652598461.0
458,palabuhanratu,,,,,,,,
459,paracuru,BR,-3.41,-39.0306,100.0,91.0,77.11,9.91,1652598462.0
460,tiznit,MA,29.5833,-9.5,2.0,71.0,63.86,1.97,1652598462.0
461,vestmannaeyjar,IS,63.4427,-20.2734,100.0,95.0,47.82,16.17,1652598463.0
462,mangrol,IN,21.1167,70.1167,6.0,64.0,88.9,12.48,1652598463.0
463,yeppoon,AU,-23.1333,150.7333,0.0,85.0,82.18,5.93,1652598464.0
464,kedgwick,CA,47.6446,-67.3434,100.0,69.0,50.79,4.88,1652598464.0
465,bonavista,CA,48.6499,-53.1147,95.0,68.0,34.72,1.48,1652598465.0
466,charters towers,AU,-20.1,146.2667,0.0,48.0,77.85,5.48,1652598465.0
467,golden,US,39.7555,-105.2211,0.0,35.0,62.37,6.91,1652598466.0
468,isiro,CD,2.7739,27.616,100.0,83.0,73.6,1.74,1652598466.0
469,kargil,IN,34.5667,76.1,96.0,19.0,58.08,6.8,1652598467.0
470,camopi,GF,3.1655,-52.3158,89.0,100.0,72.43,1.61,1652598467.0
471,cariamanga,EC,-4.3333,-79.55,54.0,95.0,50.79,2.06,1652598468.0
472,visnes,NO,59.3556,5.2242,75.0,93.0,50.05,2.3,1652598468.0
473,ilulissat,GL,69.2167,-51.1,100.0,68.0,21.22,13.8,1652598469.0
474,zlatoustovsk,,,,,,,,
475,douglas,US,41.3,-96.167,0.0,85.0,59.52,1.01,1652598469.0
476,englewood,US,39.6478,-104.9878,40.0,36.0,63.68,5.75,1652598470.0
477,quang ngai,VN,15.1167,108.8,29.0,64.0,90.79,8.28,1652598470.0
478,majene,ID,-3.5403,118.9707,68.0,70.0,85.86,6.44,1652598471.0
479,aasiaat,GL,68.7098,-52.8699,72.0,98.0,10.22,4.34,1652598471.0
480,khani,GE,41.9563,42.9566,1.0,43.0,63.97,4.03,1652598472.0
481,edgewater,US,28.9889,-80.9023,5.0,89.0,72.12,6.31,1652598473.0
482,bathsheba,BB,13.2167,-59.5167,40.0,83.0,79.41,17.27,1652598473.0
483,cockburn town,TC,21.4612,-71.1419,100.0,82.0,78.98,22.7,1652598474.0
484,hirara,JP,24.8,125.2833,100.0,83.0,73.85,29.24,1652598474.0
485,kurchum,KZ,48.5722,83.6542,100.0,46.0,70.92,10.16,1652598475.0
486,san angelo,US,31.4638,-100.437,0.0,45.0,76.53,6.91,1652598475.0
487,udachnyy,RU,66.4167,112.4,100.0,100.0,40.77,1.7,1652598476.0
488,mandalgovi,MN,45.7625,106.2708,55.0,11.0,63.39,9.48,1652598476.0
489,poya,NC,-21.35,165.15,5.0,78.0,73.99,7.14,1652598477.0
490,rawson,AR,-43.3002,-65.1023,3.0,65.0,49.23,22.12,1652598477.0
491,goderich,CA,43.7501,-81.7165,96.0,100.0,45.14,4.27,1652598478.0
492,changping,CN,40.2186,116.2197,35.0,11.0,82.04,7.72,1652598478.0
493,fairview,US,40.8126,-73.999,100.0,93.0,63.52,5.75,1652598214.0
494,yugo-kamskiy,RU,57.7053,55.5894,100.0,54.0,62.62,10.33,1652598479.0
495,praia,CV,14.9215,-23.5087,0.0,53.0,77.54,27.63,1652598479.0
496,watrous,CA,51.6668,-105.4679,96.0,74.0,43.18,7.05,1652598480.0
497,puerto colombia,CO,10.9878,-74.9547,99.0,82.0,81.03,4.52,1652598480.0
498,barinas,VE,8.6226,-70.2075,100.0,65.0,78.35,3.94,1652598481.0
499,oussouye,SN,12.485,-16.5469,8.0,88.0,72.55,2.91,1652598481.0
500,san jeronimo,PE,-11.9472,-75.2829,41.0,86.0,45.75,1.19,1652598482.0
501,banmo,,,,,,,,
502,kavieng,PG,-2.5744,150.7967,100.0,69.0,83.3,4.59,1652598483.0
503,anloga,GH,5.7947,0.8973,60.0,80.0,81.72,6.8,1652598483.0
504,faanui,PF,-16.4833,-151.75,100.0,71.0,81.5,10.49,1652598484.0
505,lopatyn,UA,50.2202,24.8483,78.0,70.0,57.24,12.66,1652598484.0
506,mtinko,TZ,-4.55,34.85,63.0,55.0,70.81,8.25,1652598485.0
507,abaete,BR,-19.16,-45.4458,73.0,68.0,66.34,4.14,1652598485.0
508,pimentel,PE,-6.8367,-79.9342,86.0,88.0,63.63,9.82,1652598486.0
509,burgeo,CA,47.6167,-57.6152,28.0,91.0,42.73,4.18,1652598486.0
510,dunedin,NZ,-45.8742,170.5036,20.0,93.0,49.8,1.99,1652598487.0
511,libertador general san martin,AR,-23.8064,-64.7876,98.0,96.0,63.97,1.14,1652598487.0
512,liverpool,GB,53.4106,-2.9779,40.0,84.0,60.3,5.99,1652598454.0
513,lao cai,VN,22.4833,103.95,100.0,96.0,75.34,0.36,1652598488.0
514,cap malheureux,MU,-19.9842,57.6142,9.0,64.0,81.46,7.0,1652598489.0
515,jizan,SA,17.3333,42.6667,0.0,17.0,102.85,5.26,1652598489.0
516,puerto el triunfo,SV,13.2833,-88.55,15.0,79.0,79.02,4.07,1652598490.0
517,cartagena del chaira,CO,1.3349,-74.8429,99.0,99.0,69.69,0.6,1652598490.0
518,kulhudhuffushi,MV,6.6221,73.07,100.0,79.0,82.4,19.01,1652598491.0
519,nemuro,JP,43.3236,145.575,100.0,83.0,45.93,13.51,1652598491.0
520,asfi,MA,32.2994,-9.2372,2.0,87.0,64.27,3.53,1652598492.0
521,kenai,US,60.5544,-151.2583,0.0,51.0,48.02,8.05,1652598492.0
522,thinadhoo,MV,0.5333,72.9333,100.0,71.0,83.44,10.18,1652598493.0
523,nacala,MZ,-14.5428,40.6728,0.0,62.0,79.07,9.33,1652598493.0
524,wajima,JP,37.4,136.9,100.0,54.0,60.58,3.51,1652598494.0
525,shellbrook,CA,53.2168,-106.4011,86.0,80.0,39.83,5.7,1652598494.0
526,saumur,FR,47.3333,-0.25,100.0,77.0,62.71,5.37,1652598495.0
527,kharp,RU,66.8014,65.8081,100.0,95.0,45.41,8.39,1652598495.0
528,san patricio,US,28.017,-97.5169,0.0,96.0,78.85,6.24,1652598496.0
529,porto novo,BJ,6.4965,2.6036,74.0,80.0,81.54,3.06,1652598265.0
530,mezhdurechenskiy,RU,59.6,65.9333,46.0,41.0,64.42,13.0,1652598496.0
531,birjand,IR,32.8663,59.2211,0.0,22.0,67.6,15.32,1652598497.0
532,kota bahru,MY,6.1333,102.2386,88.0,67.0,88.9,6.4,1652598498.0
533,shelburne,CA,44.0787,-80.2041,20.0,86.0,60.76,6.8,1652598273.0
534,warrnambool,AU,-38.3833,142.4833,67.0,79.0,60.82,23.42,1652598304.0
535,samarai,PG,-10.6167,150.6667,14.0,77.0,81.34,8.79,1652598498.0
536,talcahuano,CL,-36.7167,-73.1167,0.0,93.0,42.48,5.75,1652598315.0
537,porto seguro,BR,-16.4497,-39.0647,75.0,100.0,70.32,6.91,1652598287.0
538,sainte-anne-des-monts,CA,49.124,-66.4924,100.0,72.0,46.58,7.4,1652598499.0
539,waipawa,NZ,-41.4122,175.5153,100.0,97.0,53.82,6.64,1652598500.0
540,saint-francois,FR,46.4154,3.9054,0.0,67.0,66.67,3.44,1652598500.0
541,ruatoria,,,,,,,,
542,camana,PE,-16.6228,-72.7111,49.0,86.0,63.1,5.91,1652598501.0
543,salym,RU,60.0625,71.4789,69.0,36.0,65.37,11.23,1652598502.0
544,bissau,GW,11.8636,-15.5977,2.0,85.0,75.78,6.24,1652598223.0
545,san juan,AR,-31.5375,-68.5364,100.0,40.0,53.19,12.24,1652598502.0
546,nanortalik,GL,60.1432,-45.2371,100.0,87.0,30.29,6.78,1652598503.0
547,pemberton,CA,50.3164,-122.8027,100.0,99.0,46.54,3.44,1652598503.0
548,palu,ID,-0.8917,119.8707,95.0,74.0,86.31,4.32,1652598504.0
549,povoa de varzim,PT,41.3834,-8.7636,75.0,100.0,62.15,16.11,1652598504.0
550,shingu,JP,33.7333,135.9833,100.0,79.0,65.14,4.09,1652598505.0
551,lazarev,RU,52.225,141.5131,100.0,89.0,35.29,19.66,1652598505.0
552,vila,PT,42.0304,-8.1588,98.0,90.0,49.69,6.73,1652598506.0
553,ulladulla,AU,-35.35,150.4667,100.0,65.0,63.77,10.71,1652598506.0
554,samalaeulu,,,,,,,,
555,mayo,US,38.8876,-76.5119,100.0,97.0,65.52,0.0,1652598507.0
556,westport,US,41.1415,-73.3579,100.0,96.0,64.62,3.44,1652598508.0
557,hurghada,EG,27.2574,33.8129,100.0,38.0,82.94,29.12,1652598508.0
558,skjervoy,NO,70.0311,20.9714,100.0,94.0,41.0,5.03,1652598509.0
559,clifton,US,40.8584,-74.1638,100.0,94.0,64.58,5.75,1652598509.0
560,diffa,NE,13.3154,12.6113,98.0,12.0,87.6,15.37,1652598510.0
561,katangli,RU,51.7102,143.2326,100.0,93.0,35.85,23.4,1652598510.0
562,maneadero,MX,31.7167,-116.5667,5.0,80.0,61.11,1.99,1652598511.0
563,urubicha,BO,-15.3833,-62.95,99.0,97.0,68.47,2.93,1652598511.0
564,bataipora,BR,-22.2953,-53.2711,87.0,98.0,62.85,5.5,1652598512.0
565,katerero,TZ,-1.4,31.7333,94.0,73.0,72.64,5.77,1652598512.0
566,bereda,ES,43.2686,-7.5406,100.0,95.0,61.41,4.94,1652598513.0
567,palmer,US,42.1584,-72.3287,100.0,92.0,65.66,4.61,1652598513.0
568,tomatlan,MX,19.9333,-105.25,100.0,81.0,69.89,1.72,1652598514.0
569,aykino,RU,62.2248,49.9922,98.0,67.0,53.58,3.02,1652598514.0
570,staritsa,RU,56.5075,34.9354,100.0,83.0,48.45,7.23,1652598515.0
571,wewak,PG,-3.5534,143.6268,62.0,71.0,84.16,7.54,1652598515.0
572,linxia,CN,35.6003,103.2064,100.0,41.0,57.69,12.26,1652598516.0
573,grand centre,,,,,,,,
574,wanning,CN,18.8003,110.3967,100.0,74.0,86.32,9.69,1652598517.0
575,henties bay,NA,-22.116,14.2845,0.0,68.0,61.21,4.18,1652598517.0
576,tefe,BR,-3.3542,-64.7114,100.0,99.0,74.05,2.62,1652598518.0
577,kirkwall,GB,58.9848,-2.9587,75.0,82.0,51.85,6.91,1652598518.0
578,alotau,,,,,,,,
579,lixourion,GR,38.2019,20.4314,0.0,78.0,71.6,5.75,1652598519.0
580,sobolevo,RU,54.4299,31.8996,97.0,93.0,47.44,9.98,1652598519.0
581,mawlaik,MM,23.6333,94.4167,100.0,81.0,81.43,2.26,1652598520.0
582,galle,LK,6.0367,80.217,100.0,82.0,82.02,16.69,1652598520.0
583,burica,,,,,,,,
584,sistranda,NO,63.7256,8.834,100.0,70.0,44.56,20.09,1652598521.0
585,simao,CN,22.7886,100.9748,98.0,61.0,79.5,3.51,1652598522.0
586,brae,GB,60.3964,-1.353,100.0,81.0,51.22,5.5,1652598522.0
587,letlhakane,BW,-21.4167,25.5833,0.0,28.0,70.63,8.32,1652598523.0
588,gornopravdinsk,RU,60.05,69.9,33.0,37.0,65.77,12.68,1652598523.0
589,toamasina,MG,-18.1667,49.3833,17.0,64.0,77.63,9.13,1652598524.0
590,taunsa,PK,30.7048,70.6505,0.0,4.0,115.63,8.63,1652598524.0
591,vostok,RU,46.4856,135.8833,100.0,78.0,47.3,15.73,1652598525.0
592,parfino,RU,57.9731,31.6481,100.0,86.0,50.65,8.81,1652598525.0
593,copiapo,CL,-27.3667,-70.3333,0.0,58.0,53.29,1.34,1652598526.0
594,lompoc,US,34.6391,-120.4579,0.0,87.0,59.63,7.96,1652598425.0
595,rosetta,EG,31.4044,30.4164,0.0,64.0,69.55,13.6,1652598527.0
596,alta floresta,BR,-9.8756,-56.0861,100.0,78.0,73.98,1.88,1652598527.0
597,baghdad,IQ,33.3406,44.4009,17.0,14.0,95.83,15.95,1652598528.0
598,vila franca do campo,PT,37.7167,-25.4333,77.0,76.0,59.41,17.54,1652598528.0
599,roma,US,43.2128,-75.4557,100.0,94.0,66.87,4.61,1652598529.0
600,ambilobe,MG,-13.2,49.05,0.0,50.0,83.7,3.02,1652598529.0
601,bandarbeyla,SO,9.4942,50.8122,32.0,47.0,93.07,18.5,1652598530.0
602,yakeshi,CN,49.2833,120.7333,100.0,21.0,57.52,18.92,1652598530.0
603,ahumada,,,,,,,,
604,port macquarie,AU,-31.4333,152.9167,34.0,93.0,72.9,2.42,1652598383.0
605,bababe,,,,,,,,
606,kismayo,SO,-0.3582,42.5454,90.0,69.0,83.59,16.2,1652598531.0
607,port blair,IN,11.6667,92.75,75.0,89.0,82.44,10.36,1652598532.0
608,college,US,64.8569,-147.8028,40.0,64.0,44.92,9.22,1652598532.0
609,vadso,NO,70.0744,29.7487,99.0,70.0,50.88,9.22,1652598533.0
610,bafut,CM,6.0833,10.1,79.0,85.0,69.22,2.35,1652598533.0
611,iwanai,JP,42.9744,140.5089,1.0,59.0,55.83,12.93,1652598534.0
612,deh rawud,,,,,,,,
613,kaeo,NZ,-35.1,173.7833,22.0,86.0,61.32,6.91,1652598535.0
614,sansai,,,,,,,,
615,mwene-ditu,CD,-7.0,23.45,0.0,53.0,75.58,6.85,1652598535.0
616,yar-sale,RU,66.8333,70.8333,100.0,100.0,38.93,6.71,1652598536.0
617,ucluelet,CA,48.9329,-125.5528,100.0,92.0,49.08,9.71,1652598536.0
618,puri,IN,19.8,85.85,37.0,73.0,93.72,17.38,1652598537.0
619,puerto carreno,CO,6.189,-67.4859,98.0,87.0,76.84,2.98,1652598537.0
620,timaru,NZ,-44.4,171.25,100.0,97.0,51.08,2.44,1652598538.0
621,at-bashi,KG,41.1702,75.8106,100.0,79.0,48.72,3.33,1652598538.0
622,arcata,US,40.8665,-124.0828,100.0,76.0,57.2,0.0,1652598539.0
623,mikhaylovka,RU,50.06,43.2379,100.0,84.0,55.71,11.68,1652598539.0
624,aleksandrovsk-sakhalinskiy,RU,50.8975,142.1561,100.0,85.0,39.96,19.22,1652598540.0
625,taywarah,AF,33.35,64.4167,86.0,23.0,61.99,6.62,1652598540.0
626,ranong,TH,9.9658,98.6348,65.0,72.0,86.74,6.55,1652598541.0
627,yantal,RU,56.8471,105.2542,10.0,18.0,72.95,5.3,1652598541.0
628,san ramon,US,37.7799,-121.978,0.0,74.0,66.27,3.44,1652598542.0
629,tilichiki,RU,60.4667,166.1,100.0,99.0,33.85,1.88,1652598542.0
630,darnah,LY,32.767,22.6367,0.0,59.0,70.38,15.52,1652598543.0
631,nouadhibou,MR,20.931,-17.0347,100.0,75.0,68.4,18.63,1652598544.0
632,coatesville,US,39.9832,-75.8238,100.0,97.0,65.48,2.35,1652598417.0
633,nantucket,US,41.2835,-70.0995,100.0,98.0,60.94,5.75,1652598544.0
634,hastings,GB,50.8552,0.5729,100.0,82.0,60.3,12.55,1652598545.0
635,longview,US,32.5007,-94.7405,0.0,84.0,73.56,4.61,1652598534.0
